序號,公園綠地名稱,鄉鎮市,公園座落位置,場所禁菸規定,吸菸區個數
1,新市公園,金湖鎮,金門醫院舊院區對面,全面禁菸,0
2,"中正公園
(含老人會)",金湖鎮,太湖路三段,除吸菸區外全面禁菸,2
3,赤後山公園,金湖鎮,塔后,全面禁菸,0
4,金湯公園,金湖鎮,陳景蘭洋樓下方處,除吸菸區外全面禁菸,1
5,料羅海濱公園,金湖鎮,料羅段海濱,除吸菸區外全面禁菸,2
6,"榕園
(停車場、823戰史館)",金湖鎮,安民,除吸菸區外全面禁菸,2
7,榕園、中正紀念林,金湖鎮,安民,全面禁菸,0
8,金門媽祖公園,金湖鎮,料羅段,全面禁菸,0
9,南石滬公園,金湖鎮,柏村路第九海洋巡防總隊旁,全面禁菸,0
10,蘭湖公園,金湖鎮,瓊徑路社福館旁,全面禁菸,0
11,明德公園,金湖鎮,擎天廳營站內,全面禁菸,0
12,中山林遊憩區,金寧鄉,伯玉路二段460號,除吸菸區外全面禁菸,3
13,尚義環保公園,金寧鄉,"環島南路三段
(金門縣環保局裡面)",除吸菸區外全面禁菸,3
14,后湖濱海公園,金寧鄉,"環島南路一段
（后湖村海邊）",除吸菸區外全面禁菸,1
15,愛家公園,金寧鄉,環島西路2段與環島北路交叉口內,全面禁菸,0
16,海濱公園,金城鎮,"民族路
(福建省政府前方)",除吸菸區外全面禁菸,1
17,莒光公園,金城鎮,賢城路與西海路3段交叉路口,除吸菸區外全面禁菸,1
18,石雕公園,金城鎮,西海路三段浯江溪口旁,除吸菸區外全面禁菸,2
19,延平郡王祠,金城鎮,西海路三段往夏墅與后豐港之間,除吸菸區外全面禁菸,1
20,稚暉公園,金城鎮,"西海路一段
(法務部調查局福建省調查處前)",全面禁菸,0
21,東門公園,金城鎮,"金城鎮民生路
(金城鎮公所南側)",全面禁菸,0
22,魁星樓,金城鎮,金城鎮東門里珠浦東路43號前　,全面禁菸,0
23,楓香林遊憩區,金沙鎮,金沙鎮陽沙路上,除吸菸區外全面禁菸,1
24,財神公園,金沙鎮,忠孝新?對面,全面禁菸,0
25,陽山公園,烈嶼鄉,烈嶼鄉浦陽路2號,除吸菸區外全面禁菸,1
26,羅厝媽祖公園,烈嶼鄉,羅厝社區,全面禁菸,0
27,湖下保安宮公園,烈嶼鄉,湖下社區保安宮後方,全面禁菸,0
28,東林海濱公園,烈嶼鄉,東林海濱,全面禁菸,0
29,習山湖公園,烈嶼鄉,東林海濱公園旁,全面禁菸,0
30,麒麟山森林遊樂公園,烈嶼鄉,麒麟山,除吸菸區外全面禁菸,1
31,后頭百獅公園,烈嶼鄉,后頭社區外,全面禁菸,0
